MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
102   4   57  1.48e+00  1.45e+01  
102   4   58  1.62e+00  1.97e+01  
102   4   59  1.41e+00  1.43e+01  
102   4   60  1.42e+00  1.63e+01  
102   4   61  1.44e+00  1.70e+01  
102   4   62  1.37e+00  1.69e+01  
102   4   63  1.62e+00  9.80e+00  
102   4   64  2.15e+00  1.02e+01  
102   5   1   1.49e+00  1.53e+01  
102   5   2   1.53e+00  1.39e+01  
102   5   5   1.40e+00  7.49e+00  
102   5   6   1.42e+00  6.23e+00  
102   5   7   1.31e+00  6.64e+00  
102   5   8   1.47e+00  1.36e+01  
102   5   9   1.42e+00  9.27e+00  
102   5   10  1.47e+00  1.27e+01  
102   5   12  1.47e+00  1.06e+01  
102   5   13  1.29e+00  1.59e+01  
102   5   14  1.37e+00  1.39e+01  
102   5   15  1.25e+00  9.32e+00  
102   5   16  1.40e+00  1.14e+01  
102   5   17  1.26e+00  1.52e+01  
102   5   18  1.00e+00  1.15e+01  
102   5   19  1.31e+00  8.58e+00  
102   5   20  1.41e+00  5.33e+00  
102   5   21  1.65e+00  6.38e+00  
102   5   22  1.30e+00  5.71e+00  
102   5   23  1.51e+00  6.13e+00  
102   5   24  1.30e+00  6.73e+00  
102   5   25  1.10e+00  1.02e+01  
102   5   26  1.39e+00  6.60e+00  
102   5   28  1.44e+00  6.94e+00  
102   5   29  1.50e+00  1.32e+01  
102   5   30  1.24e+00  8.50e+00  
102   5   31  1.45e+00  8.86e+00  
102   5   32  1.24e+00  5.55e+00  
102   5   33  1.06e+00  1.07e+01  
102   5   34  1.37e+00  7.87e+00  
102   5   35  1.39e+00  6.62e+00  
102   5   36  1.25e+00  6.38e+00  
102   5   37  1.42e+00  1.32e+01  
102   5   38  1.20e+00  8.04e+00  
102   5   39  1.27e+00  6.07e+00  
102   5   40  1.19e+00  5.16e+00  
102   5   41  1.08e+00  3.51e+00  
102   5   42  1.23e+00  8.61e+00  
102   5   43  1.53e+00  4.92e+00  
102   5   44  1.17e+00  5.42e+00  
102   5   45  1.32e+00  4.52e+00  
102   5   46  1.22e+00  3.77e+00  
102   5   47  1.45e+00  6.90e+00  
102   5   48  1.44e+00  7.98e+00  
102   5   49  1.19e+00  9.13e+00  
