MMFE8 VMM CH  Gain      Pedestal  (PDO = Q*G + P)
102   7   3   8.93e+00  1.69e+01  
102   7   4   8.26e+00  2.36e+01  
102   7   5   9.01e+00  2.51e+01  
102   7   6   9.15e+00  3.34e+01  
102   7   7   9.80e+00  2.53e+01  
102   7   8   8.75e+00  1.87e+01  
102   7   9   8.83e+00  2.58e+01  
102   7   10  9.09e+00  2.45e+01  
102   7   11  8.98e+00  1.02e+01  
102   7   12  8.70e+00  6.38e+01  
102   7   13  1.07e+01  7.07e+00  
102   7   14  8.74e+00  1.23e+01  
102   7   15  1.02e+01  1.69e+01  
102   7   16  9.75e+00  1.33e+01  
102   7   17  1.00e+01  1.93e+01  
102   7   18  9.43e+00  1.47e+01  
102   7   19  9.73e+00  1.82e+01  
102   7   20  9.81e+00  1.86e+01  
102   7   21  9.04e+00  1.97e+01  
102   7   22  9.65e+00  2.92e+01  
102   7   23  9.28e+00  2.12e+01  
102   7   24  8.51e+00  3.10e+01  
102   7   25  1.21e+01  4.16e+01  
102   7   26  9.82e+00  3.59e+01  
102   7   27  8.53e+00  1.78e+01  
102   7   28  1.01e+01  -6.76e+02 
102   7   29  9.02e+00  3.84e+01  
102   7   30  8.92e+00  1.27e+01  
102   7   31  1.04e+01  1.36e+01  
102   7   32  9.94e+00  3.22e+01  
102   7   33  8.43e+00  7.33e+00  
102   7   34  1.08e+01  -2.13e+01 
102   7   35  2.64e+00  5.35e+00  
102   7   36  3.87e+00  2.05e+00  
102   7   37  9.54e+00  8.67e+01  
102   7   38  9.84e+00  2.21e+01  
102   7   39  9.48e+00  2.35e+01  
102   7   40  8.37e+00  -5.98e+00 
102   7   41  1.03e+01  2.37e+01  
102   7   42  9.69e+00  3.76e+01  
102   7   43  9.13e+00  1.64e+01  
102   7   44  9.62e+00  7.15e+01  
102   7   45  8.80e+00  4.88e+01  
102   7   46  8.81e+00  1.61e+01  
102   7   47  9.93e+00  2.53e+01  
102   7   48  9.57e+00  7.59e+00  
102   7   49  9.79e+00  3.36e+01  
102   7   50  9.84e+00  2.43e+01  
102   7   51  9.53e+00  2.29e+01  
102   7   52  8.72e+00  4.43e+01  
102   7   53  8.90e+00  7.87e+00  
102   7   54  9.14e+00  1.41e+01  
102   7   55  1.15e+01  4.71e+01  
102   7   56  9.38e+00  2.56e+01  
102   7   57  8.93e+00  1.30e+01  
102   7   58  1.02e+01  2.65e+01  
102   7   59  8.85e+00  1.92e+01  
102   7   60  8.51e+00  4.87e+01  
102   7   61  8.58e+00  1.80e+01  
102   7   62  8.19e+00  3.94e+01  
102   7   63  8.97e+00  2.54e+01  
102   7   64  7.97e+00  1.05e+01  
105   0   1   7.62e+02  -8.08e+03 
105   0   3   1.02e+01  -1.15e+01 
105   0   4   6.93e+00  4.75e+01  
105   0   7   7.98e+00  5.17e+01  
105   0   8   8.60e+00  1.81e+01  
105   0   9   9.07e+00  3.73e+01  
105   0   11  9.04e+00  1.63e+01  
105   0   12  8.73e+00  9.88e+00  
105   0   14  8.80e+00  2.60e+00  
105   0   15  2.37e+01  -4.62e+01 
105   0   17  1.03e+01  -2.21e+01 
105   0   18  9.57e+00  6.74e+00  
105   0   20  1.21e+01  1.31e+01  
105   0   21  9.84e+00  1.03e+01  
105   0   22  9.83e+00  -1.38e+01 
105   0   24  8.49e+00  3.58e+01  
105   0   26  8.30e+00  -8.81e+00 
105   0   28  1.91e+01  -2.07e+02 
105   0   29  1.00e+01  -1.56e+01 
105   0   31  3.02e+01  2.05e+02  
105   0   35  1.06e+01  -6.20e+01 
105   0   36  9.04e+00  -1.63e+01 
105   0   37  1.12e+01  -4.75e+01 
105   0   38  9.52e+00  -2.80e+00 
105   0   40  9.79e+00  -1.58e+01 
105   0   41  8.78e+00  3.64e+01  
105   0   45  1.01e+01  -4.38e+01 
105   0   46  3.47e+01  1.01e+03  
105   0   47  1.00e+01  7.56e-01  
105   0   48  9.58e+00  2.59e+00  
105   0   49  9.22e+00  -1.59e+01 
105   0   50  8.89e+00  5.09e+00  
105   0   51  9.13e+00  8.16e+00  
105   0   53  1.54e+07  5.76e+09  
